series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_dvd,my_storage,my_status,my_comments,my_times_watched,my_rewatch_value,my_tags,my_rewatching,my_rewatching_ep,update_on_import
24997,Love Live! The School Idol Movie,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
28013,Macross Δ,TV,26,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
34599,Made in Abyss,TV,13,0,13,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
36266,Mahou Shoujo Site,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
20785,Mahouka Koukou no Rettousei,TV,26,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
512,Majo no Takkyuubin,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
31537,Manaria Friends,TV,10,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
10721,Mawaru Penguindrum,TV,24,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
36563,Megalo Box,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
19257,Meganebu!,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
21603,Mekakucity Actors,TV,12,0,12,0000-00-00,0000-00-00,,5,,,Completed,,0,,,0,0,0
522,Metropolis,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
36982,Micchiri Neko,TV,39,0,13,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
32233,Micchiri Neko March,Music,1,0,1,0000-00-00,0000-00-00,,6,,,Completed,,0,,,0,0,0
35683,Midnight Crazy Trail,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
35828,Miira no Kaikata,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
36936,Mirai no Mirai,Movie,1,0,1,0000-00-00,0000-00-00,,4,,,Completed,,0,,,0,0,0
2581,Mobile Suit Gundam 00,TV,25,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
31442,Musaigen no Phantom World,TV,13,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38663,Mushikago no Cagaster,ONA,0,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
16067,Nagi no Asu kara,TV,26,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
34580,Nana Maru San Batsu,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
30016,Nanbaka,TV,13,0,3,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
12119,Natsu-iro Kiseki,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
4081,Natsume Yuujinchou,TV,13,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
39235,Ni no Kuni,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
10165,Nichijou,TV,26,0,26,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
38082,Nijuuseiki Denki Mokuroku,Unknown,0,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
18897,Nisekoi,TV,20,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
19815,No Game No Life,TV,12,0,12,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
10161,No.6,TV,11,0,11,0000-00-00,0000-00-00,,8,,,Completed,,0,,,0,0,0
1698,Nodame Cantabile,TV,23,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
39583,number24,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
32962,Occultic;Nine,TV,12,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
21557,Omoide no Marnie,Movie,1,0,1,0000-00-00,0000-00-00,,7,,,Completed,,0,,,0,0,0
2159,Ookiku Furikabutte,TV,25,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",TV,10,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
38395,Otona no Bouguya-san,ONA,12,0,12,0000-00-00,0000-00-00,,3,,,Completed,,0,,,0,0,0
708,Patapata Hikousen no Bouken,TV,26,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
37407,Penguin Highway,Movie,1,0,0,0000-00-00,0000-00-00,,0,,,Plan to Watch,,0,,,0,0,0
3366,Persona: Trinity Soul,TV,26,0,1,0000-00-00,0000-00-00,,0,,,Dropped,,0,,,0,0,0
